date,pollutant,mean,std,min,max,count
2022-02-21,PM10,33.2926267281106,23.189513580601634,3.0,183.0,2170
2022-02-22,O3,58.67759815242494,22.382430460236904,1.0,96.0,2165
2022-02-22,PM2.5,16.24455766558592,9.81366162048478,1.0,92.0,2159
2022-02-22,PM10,31.616558741905642,20.62570187404457,1.0,145.0,2162
2022-02-23,O3,43.30428954423593,27.544794768979962,1.0,97.0,2238
2022-02-23,PM2.5,25.142413487133982,14.882284110076023,1.0,120.0,2254
2022-02-23,PM10,47.37012411347518,28.031627483011007,2.0,233.0,2256
2022-02-24,O3,45.34580703336339,34.975192586828705,1.0,143.0,2218
2022-02-24,PM2.5,48.797787610619466,29.854281714659518,1.0,167.0,2260
2022-02-24,PM10,83.15787139689579,45.0501952016694,3.0,231.0,2255
2022-02-25,O3,53.956132497761864,38.71835324223978,1.0,145.0,2234
2022-02-25,PM2.5,75.23636363636363,42.5732029965376,2.0,205.0,2255
2022-02-25,PM10,120.7963620230701,57.581605723809865,16.0,291.0,2254
2022-02-26,O3,66.80150309460655,24.890244262682575,1.0,173.0,2262
2022-02-26,PM2.5,22.69507323568575,34.29233553812111,1.0,250.0,2253
2022-02-26,PM10,48.09933774834437,50.67898645825107,3.0,328.0,2265
2022-02-27,O3,51.76106194690266,31.58175913999557,1.0,145.0,2260
2022-02-27,PM2.5,28.18445322793149,15.544042993090462,1.0,159.0,2277
2022-02-27,PM10,68.61976179973533,33.5898759788042,12.0,324.0,2267
2022-02-28,O3,54.61613805970149,33.25615110889945,1.0,156.0,2144
2022-02-28,PM2.5,50.66158818097876,25.611910607671827,1.0,141.0,2166
2022-02-28,PM10,111.38336431226766,49.303695864064025,2.0,337.0,2152
2022-03-01,O3,68.75387339530766,15.61045202131505,3.0,103.0,2259
2022-03-01,PM2.5,12.066696309470876,10.535759167390362,1.0,109.0,2249
2022-03-01,PM10,31.966341895482728,31.767614475878855,1.0,401.0,2258
2022-03-02,O3,54.19440745672437,30.564513055059827,1.0,136.0,2253
2022-03-02,PM2.5,24.068523430592396,12.41302863054007,1.0,84.0,2262
2022-03-02,PM10,59.05417406749556,25.937701962780363,4.0,213.0,2252
2022-03-03,O3,53.71739130434783,29.73173879451775,1.0,126.0,2208
2022-03-03,PM2.5,34.96019677996422,20.60380430936294,1.0,163.0,2236
2022-03-03,PM10,100.09197475202886,90.26143582745217,3.0,1196.0,2218
2022-03-04,O3,63.438212494300046,32.47130605916338,1.0,119.0,2193
2022-03-04,PM2.5,40.823818019625335,33.90830506815246,1.0,204.0,2242
2022-03-04,PM10,174.0115967885816,168.6290838786206,8.0,1517.0,2242
2022-03-05,O3,61.82231040564374,23.746858987445258,1.0,106.0,2268
2022-03-05,PM2.5,14.003533568904594,10.196782293416511,1.0,71.0,2264
2022-03-05,PM10,53.114197530864196,40.009541536368545,3.0,368.0,2268
2022-03-06,O3,46.86420302760463,29.635328712384883,1.0,117.0,2246
2022-03-06,PM2.5,28.956904133685136,18.65244514879024,1.0,124.0,2274
2022-03-06,PM10,75.12115891132572,48.345554165943206,3.0,309.0,2278
2022-03-07,O3,53.1073018699911,33.68663630919302,1.0,136.0,2246
2022-03-07,PM2.5,32.232682060390765,21.767380660864347,1.0,133.0,2252
2022-03-07,PM10,74.8237378210806,46.989717924611334,4.0,267.0,2258
2022-03-08,O3,54.73994638069705,39.9691829948182,1.0,167.0,2238
2022-03-08,PM2.5,50.35485307212823,24.661611756639594,1.0,162.0,2246
2022-03-08,PM10,109.7864768683274,52.32848406146669,4.0,291.0,2248
2022-03-09,O3,65.74853537629564,47.76166835267108,1.0,181.0,2219
2022-03-09,PM2.5,81.14317375886525,35.640807771145376,2.0,175.0,2256
2022-03-09,PM10,161.75445632798574,57.70558730612097,15.0,390.0,2244
2022-03-10,O3,86.21310004486317,56.78102799516611,1.0,226.0,2229
2022-03-10,PM2.5,100.19822616407983,40.70094488846168,4.0,189.0,2255
2022-03-10,PM10,190.3752236135957,49.68722470086397,71.0,433.0,2236
2022-03-11,O3,78.58652575957728,37.05073311243916,1.0,213.0,2271
2022-03-11,PM2.5,85.38827677390921,39.09438087758819,1.0,247.0,2269
2022-03-11,PM10,160.42396109637488,64.02924156975848,31.0,404.0,2262
2022-03-12,O3,58.84340538156154,28.783491329943192,1.0,170.0,2267
2022-03-12,PM2.5,69.3076923076923,35.35061123205705,1.0,200.0,2262
2022-03-12,PM10,99.31950573698147,42.75880484546067,13.0,285.0,2266
2022-03-13,O3,49.369010300044785,31.58368021667207,1.0,131.0,2233
2022-03-13,PM2.5,77.92532037118869,44.694348521069365,1.0,388.0,2263
2022-03-13,PM10,113.71713147410358,107.31813475949313,6.0,2047.0,2259
2022-03-14,O3,69.43553389455029,28.978586430375238,1.0,144.0,2257
2022-03-14,PM2.5,53.97926775474195,44.21867915320429,1.0,500.0,2267
2022-03-14,PM10,158.62621789193977,209.22338845008542,6.0,2759.0,2258
2022-03-15,O3,68.2963620230701,28.98230980016127,1.0,169.0,2254
2022-03-15,PM2.5,57.535017730496456,34.473363352750326,1.0,282.0,2256
2022-03-15,PM10,173.91996442863496,152.65804644184422,19.0,1191.0,2249
2022-03-16,O3,60.03014842300556,24.444107617072856,1.0,114.0,2156
2022-03-16,PM2.5,45.91224018475751,31.51605277123856,1.0,195.0,2165
2022-03-16,PM10,121.18585298196949,83.45424410164308,3.0,528.0,2163
2022-03-17,O3,59.93191865605659,13.16640950637573,5.0,94.0,2262
2022-03-17,PM2.5,20.038239217429968,13.349672075403564,1.0,131.0,2249
2022-03-17,PM10,43.05028927458834,22.913716731884794,3.0,217.0,2247
2022-03-18,O3,44.29223946784922,21.316955704978632,2.0,108.0,2255
2022-03-18,PM2.5,37.41328577797592,17.021398036610815,1.0,117.0,2243
2022-03-18,PM10,54.567435669920144,25.89276611488109,2.0,201.0,2254
2022-03-19,O3,63.609799554565704,26.113442633083796,1.0,114.0,2245
2022-03-19,PM2.5,27.71804008908686,19.073582978846794,1.0,94.0,2245
2022-03-19,PM10,37.11654804270463,24.78397291297129,1.0,136.0,2248
2022-03-20,O3,59.280678268630076,30.056561683088365,1.0,123.0,2241
2022-03-20,PM2.5,42.10834813499112,25.73111719534084,1.0,157.0,2252
2022-03-20,PM10,60.982682060390765,35.30562026996119,2.0,212.0,2252
2022-03-21,O3,60.27101123595506,26.981621545500055,1.0,112.0,2225
2022-03-21,PM2.5,42.379769299023955,41.50070245329759,1.0,341.0,2254
2022-03-21,PM10,62.44577777777778,56.27755773303477,2.0,323.0,2250
2022-03-22,O3,54.70217487794052,26.398438730272673,1.0,131.0,2253
2022-03-22,PM2.5,44.04157452454666,44.038341683753956,1.0,190.0,2261
2022-03-22,PM10,65.36351590106007,56.36749929108989,1.0,246.0,2264
2022-03-23,O3,53.694295900178254,34.34364377350631,1.0,135.0,2244
2022-03-23,PM2.5,64.12809187279152,28.381214029470488,9.0,174.0,2264
2022-03-23,PM10,90.45168439716312,36.99234834145149,14.0,337.0,2256
2022-03-24,O3,39.75400824553367,30.324726756819935,1.0,142.0,2183
2022-03-24,PM2.5,79.11584553928095,34.165966331347164,1.0,183.0,2253
2022-03-24,PM10,116.82326820603907,47.16904739660155,24.0,260.0,2252
2022-03-25,O3,46.088342440801455,30.3469679136355,1.0,132.0,2196
2022-03-25,PM2.5,60.39220894200974,41.10058760415163,2.0,192.0,2259
2022-03-25,PM10,128.51461470327723,55.319892718909955,7.0,400.0,2258
2022-03-26,O3,61.95325022261799,31.352164015527443,1.0,123.0,2246
2022-03-26,PM2.5,25.216335540838852,15.982689250143787,1.0,101.0,2265
2022-03-26,PM10,106.96466431095406,63.9421778506139,13.0,643.0,2264
2022-03-27,O3,74.63769401330377,20.935811477495395,1.0,114.0,2255
2022-03-27,PM2.5,11.389160373167481,8.96781092773902,1.0,57.0,2251
2022-03-27,PM10,40.7787610619469,34.87419476363483,1.0,305.0,2260
2022-03-28,O3,70.93880266075388,35.726179354211745,1.0,141.0,2255
2022-03-28,PM2.5,30.493138556883576,11.464452125008798,2.0,84.0,2259
2022-03-28,PM10,83.09911504424778,37.87042298773478,12.0,410.0,2260
2022-03-29,O3,61.7258996001777,27.679705473370575,1.0,145.0,2251
2022-03-29,PM2.5,51.390707964601766,18.31958192207647,3.0,130.0,2260
2022-03-29,PM10,105.67789100575986,38.41323723923422,9.0,332.0,2257
2022-03-30,O3,54.613047363717605,28.916653975348144,1.0,128.0,2238
2022-03-30,PM2.5,35.8413610251878,29.311046546859007,1.0,144.0,2263
2022-03-30,PM10,60.15046604527297,49.82389756690561,2.0,312.0,2253
2022-03-31,O3,63.72084646555606,30.892348593539854,1.0,172.0,2221
2022-03-31,PM2.5,19.437221727515585,16.137441851264082,1.0,123.0,2246
